Date,Division,Product,Revenue,Expense,Profit,Employee_Count,Customer_Count,New_Customers,Lost_Customers,Ad_Spend,IT_Spend,R&D_Spend,Year,Forecast_Revenue,Forecast_Expense,Forecast_Profit
2020-10-01,West,Speakers,101551.67442269142,94783.13261114548,19203.1685702378,26,586,37,11,9067.69802297876,7271.780494452687,12984.609722531504,2020,106629.258143826,97626.62658947986,9002.631554346139
2011-09-01,West,Smartphones,78294.64120428902,78256.96039611833,30672.97775711122,99,871,35,2,9015.423561722018,5427.39560342236,14326.89673002105,2011,82209.37326450348,80604.66920800188,1604.7040565015923
2023-05-01,West,Laptops,76043.93620245329,64504.52224018705,23676.32189927729,50,587,32,10,3112.025862490269,13319.011923831416,19026.379869226457,2023,79846.13301257596,66439.65790739266,13406.475105183301
2014-10-01,West,Laptops,92185.88772175144,99920.0227132565,16171.10858344984,13,577,23,13,3486.428348958967,11993.413254006437,28469.028384136745,2014,96795.18210783902,102917.6233946542,-6122.441286815185
2011-10-01,East,Smartphones,94301.90466756938,85030.41927011574,15827.855082892482,12,802,25,2,3820.726965172167,9594.546004309068,19292.33627545945,2011,99016.99990094785,87581.33184821923,11435.668052728623
2017-05-01,West,Laptops,88654.76570684837,91596.23558531412,13796.200911815376,28,388,36,14,5065.750669053337,12031.787161012204,33401.272485017835,2017,93087.50399219079,94344.12265287354,-1256.6186606827541
2014-01-01,East,Smartwatches,102569.61065836868,89288.71001874532,23029.714355890712,50,205,30,17,8461.388641412621,15252.839590604968,49931.99313891544,2014,107698.09119128712,91967.37131930768,15730.71987197944
2014-11-01,South,Laptops,88147.12612228647,84659.40881535747,15716.923863441223,49,740,17,9,2299.329014814196,6635.0110426107785,29927.24377981432,2014,92554.48242840079,87199.19107981819,5355.291348582599
2024-02-01,West,Headphones,105084.11788848478,109994.23724762314,8671.921168269415,67,708,33,8,7303.51840658821,8835.341656348957,40274.21418267212,2024,110338.32378290902,113294.06436505183,-2955.740582142811
2011-03-01,West,Smartwatches,89587.03168663461,70139.09491504928,11742.8209809427,48,675,11,8,4175.201966963925,16924.406689032992,21696.06229582284,2011,94066.38327096634,72243.26776250076,21823.115508465577
2024-07-01,North,Tablets,112634.07415469142,75366.0567223822,14479.303118989144,16,739,30,7,2760.9684302205005,15051.840394292967,48515.18945839089,2024,118265.777862426,77627.03842405367,40638.73943837233
2014-03-01,South,Laptops,93798.02413246351,104617.37902632984,21684.267080569687,45,322,10,16,4045.946230064461,8993.802851308785,19964.21902368787,2014,98487.9253390867,107755.90039711974,-9267.975058033044
2018-12-01,West,Laptops,124924.13344534863,81230.95123261109,19586.884010689224,92,904,36,19,5799.483472780669,10972.258118488407,33865.24013689732,2018,131170.34011761608,83667.87976958942,47502.46034802667
2014-07-01,West,Headphones,113045.89399579309,78110.99849780725,24714.210876662444,85,481,40,17,9292.726256657506,6796.244810805746,49333.227975369366,2014,118698.18869558275,80454.32845274147,38243.860242841285
2015-04-01,South,Headphones,103871.70679623412,76204.89297801835,15464.04688101002,29,937,27,1,6654.417616401434,8796.914107164795,42329.824309169606,2015,109065.29213604584,78491.0397673589,30574.25236868694
2020-11-01,East,Speakers,95846.45466720182,90189.5391941564,18378.21408701481,85,203,15,13,6463.730166898746,17617.277614321378,49681.33225508946,2020,100638.77740056191,92895.2253699811,7743.552030580817
2014-03-01,West,Smartphones,69619.80549342754,76560.72760867867,28736.66730270248,38,763,25,16,1978.669331713024,11606.159656126209,25189.519429014406,2014,73100.79576809892,78857.54943693904,-5756.753668840116
2021-03-01,North,Smartphones,128270.98809347845,74876.70001975556,18294.10451087588,93,213,23,6,1718.208748120348,14604.392711286617,13105.25988855228,2021,134684.53749815238,77123.00102034822,57561.536477804155
2011-09-01,West,Smartphones,86384.45843165401,89942.23424600052,21122.27251821001,77,607,38,15,2165.17237129496,7396.122060782112,19739.62624354489,2011,90703.68135323672,92640.50127338053,-1936.819920143811
2016-01-01,North,Headphones,101814.6426880444,81398.85749582056,16718.52740956835,75,154,48,12,1859.9107587801827,7749.5849597832785,48304.54016495101,2016,106905.37482244663,83840.82322069518,23064.551601751446
2023-11-01,North,Smartphones,106876.08647071764,64858.29514618279,18872.28153804025,56,220,39,8,6187.279915637563,19113.81679285404,24823.12087924784,2023,112219.89079425353,66804.04400056828,45415.846793685254
2011-06-01,West,Smartphones,96329.76880843882,80480.24626452857,22376.3406105734,32,316,35,1,5073.537246657603,17621.503844525327,14990.945370729474,2011,101146.25724886077,82894.65365246443,18251.603596396337
2020-12-01,West,Tablets,127092.02108716057,100917.97252944164,23285.4676136411,15,734,33,11,1044.9290610817764,16854.9613875943,33724.19210322428,2020,133446.6221415186,103945.5117053249,29501.110436193703
2017-05-01,North,Smartphones,75572.58165182506,91479.59218867436,20590.64577041797,27,102,10,15,4159.599875367844,9943.85425708731,30016.94470880928,2017,79351.21073441632,94223.97995433459,-14872.769219918264
2014-12-01,South,Laptops,134678.69613974675,102769.69507135442,18700.82231254398,62,191,40,1,2146.27736527178,13441.339765548162,12498.762617300354,2014,141412.6309467341,105852.78592349506,35559.845023239046
2011-02-01,South,Speakers,113431.15115016632,69030.50106286183,20651.029406125028,31,506,35,16,9893.075484192988,12385.115925241733,28117.82587513464,2011,119102.70870767464,71101.41609474769,48001.29261292695
2010-09-01,West,Headphones,95071.5882633106,96053.44662120548,16319.357148114304,77,775,36,7,5141.418033085785,19343.459850957886,35314.747683215755,2010,99825.16767647612,98935.05001984166,890.1176566344657
2017-06-01,East,Smartwatches,95295.40012137424,70272.24701053792,18922.51111269449,84,540,44,1,4835.139748943742,8594.516453665145,19307.51853328116,2017,100060.17012744297,72380.41442085405,27679.755706588912
2014-05-01,South,Speakers,55663.56992192317,61514.10618408585,21661.697014171797,44,730,24,2,6797.568986803427,19208.49464210851,14977.629260542766,2014,58446.74841801933,63359.52936960843,-4912.780951589106
2020-10-01,West,Tablets,83035.34459663797,67954.04424892334,24934.95841233266,84,531,26,8,4213.841531835049,15602.756578247974,44591.87003126403,2020,87187.11182646987,69992.66557639104,17194.446250078836
2016-12-01,South,Headphones,92921.92489973914,81971.15395091695,15442.414855218936,18,160,7,11,7439.631651664559,11205.373173017138,35017.92389650766,2016,97568.0211447261,84430.28856944447,13137.732575281625
2017-08-01,East,Headphones,103522.09952061815,95419.2732473522,19113.993800369943,40,825,12,13,9143.14405428284,8995.322919338118,16210.273803242704,2017,108698.20449664906,98281.85144477278,10416.353051876285
2019-03-01,West,Laptops,125191.62488904454,84656.23466879847,14974.591149069576,52,572,49,5,5490.075579237322,16360.30042539664,35164.323983366965,2019,131451.20613349677,87195.92170886243,44255.284424634345
2024-04-01,East,Speakers,140750.91249657905,77700.77480949664,17777.786044936714,84,346,23,18,4446.307193086063,17344.023901040986,39410.23595426098,2024,147788.458121408,80031.79805378155,67756.66006762646
2010-08-01,West,Speakers,105445.34197605148,64516.829000204,25002.52088565589,26,846,35,19,5697.0715933714455,10362.91073493136,33901.12110949072,2010,110717.60907485406,66452.33387021012,44265.27520464394
2024-07-01,East,Smartphones,104112.18624285932,90579.96997349376,17317.36699413003,60,968,36,3,6431.974257959264,7578.198667049031,14646.27246379226,2024,109317.79555500229,93297.36907269858,16020.426482303708
2012-11-01,South,Laptops,90192.96464976264,94454.33953683976,19520.023669053706,75,471,19,1,8629.323445339294,12383.668656806232,14989.789653883256,2012,94702.61288225077,97287.96972294495,-2585.3568406941777
2016-09-01,South,Smartphones,65697.99713354261,84474.25409789583,13816.03230064089,33,388,43,5,4550.315062141412,12027.534955154526,11805.794914287886,2016,68982.89699021974,87008.4817208327,-18025.584730612958
2023-08-01,East,Smartphones,87884.26947589568,64215.22064015728,17194.39690091615,24,689,35,19,1462.8832381022062,15881.03874479094,19360.160614392425,2023,92278.48294969047,66141.677259362,26136.805690328474
2014-02-01,East,Headphones,95889.97840507954,92130.63694528308,12258.158482826482,37,123,7,9,6676.604410748478,19597.772812154944,12385.963362750988,2014,100684.47732533353,94894.55605364157,5789.921271691957
2018-08-01,East,Speakers,119507.88841330324,98408.6711389213,21393.662135995903,12,505,36,7,9881.904062081538,12969.23293229325,42212.13950604216,2018,125483.2828339684,101360.93127308894,24122.35156087947
2020-12-01,West,Smartphones,110390.29063163893,102995.253079667,21840.46752892875,38,407,14,12,8688.130564822186,15975.789328410245,10616.22111665299,2020,115909.80516322088,106085.11067205701,9824.694491163871
2010-02-01,South,Tablets,104430.9044780212,73434.54491411425,21684.4455545964,61,712,32,14,7824.303822275474,10258.694813831658,33240.678388892586,2010,109652.44970192226,75637.58126153768,34014.868440384584
2021-02-01,West,Tablets,88383.99813021494,86544.57283701799,22005.511844012857,63,471,31,16,2588.5178831364365,13993.62114566139,42393.33632346726,2021,92803.19803672569,89140.91002212853,3662.2880145971576
2014-06-01,South,Speakers,60357.66501911738,71982.02362966123,21693.56653751176,67,862,44,13,7737.572971070359,6729.918982476797,45794.51964526816,2014,63375.548270073254,74141.48433855106,-10765.936068477808
2018-10-01,North,Tablets,61564.87902534692,66164.57846332365,12368.55284472404,54,734,47,18,1733.2893871804376,17224.01125198121,26378.20219532239,2018,64643.12297661427,68149.51581722336,-3506.3928406090927
2010-04-01,West,Headphones,66725.27066115977,103748.06267424994,16061.074266543252,86,314,35,10,5445.261744444106,10164.863437018364,34836.9718830665,2010,70061.53419421776,106860.50455447745,-36798.970360259686
2014-06-01,South,Laptops,94159.86647590564,88468.50792015801,8781.341200503479,59,361,38,6,4338.097754438867,6200.620213119918,48046.68640708862,2014,98867.85979970092,91122.56315776275,7745.29664193817
2022-02-01,South,Smartwatches,119880.8887543598,99391.21447466494,17682.12776616696,31,943,9,3,9147.576994497642,19858.420741174912,36864.41805391606,2022,125874.93319207779,102372.9509089049,23501.982283172896
2013-08-01,West,Smartphones,119341.31139921768,61627.62364893512,15646.341786347712,61,445,15,4,2438.5217428378187,18526.82343456742,46043.69471295166,2013,125308.37696917857,63476.45235840318,61831.92461077539
2023-06-01,West,Smartwatches,115874.31524154871,84326.28612363551,19806.559356555143,62,512,11,1,8099.965031988172,7961.500185135315,37371.68037142381,2023,121668.03100362615,86856.07470734458,34811.95629628157
2011-02-01,South,Laptops,89698.0903296392,87624.48599224711,32297.31324041819,40,222,12,11,1436.6071170476157,10448.027754235338,12719.890757978974,2011,94182.99484612118,90253.22057201453,3929.7742741066468
2017-11-01,West,Laptops,122885.2633223422,67517.32065703059,23911.387395977323,80,863,21,17,7315.792844251235,19050.7654482144,17875.319999620486,2017,129029.52648845932,69542.84027674151,59486.68621171781
2013-12-01,East,Headphones,81378.58847420313,102317.57699037802,27647.89725517187,57,419,48,5,3644.003858032466,16944.930917378282,47618.04149293932,2013,85447.51789791329,105387.10430008936,-19939.586402176064
2011-03-01,West,Tablets,117067.86877717751,76317.19823668146,24107.07535273313,99,436,43,12,9783.22080605079,18596.183311629076,43770.75701452944,2011,122921.2622160364,78606.7141837819,44314.54803225449
2013-04-01,West,Tablets,66508.47360423888,86804.52938176238,19499.624862295237,40,257,45,7,7045.690959634259,13438.246676650951,26908.87142894781,2013,69833.89728445082,89408.66526321525,-19574.76797876443
2016-10-01,West,Laptops,76457.75512225564,71746.124260225,19951.498814673272,13,426,18,4,3780.149330935207,8646.74330705147,16445.026435997763,2016,80280.64287836842,73898.50798803175,6382.134890336674
2019-03-01,South,Headphones,133052.30121941125,62083.88723214439,24322.926219591543,44,760,28,16,3119.6892181204635,8405.802910066248,16286.816563718598,2019,139704.91628038182,63946.40384910873,75758.51243127309
2014-05-01,East,Headphones,95923.30772341591,93695.90141276474,21241.75498934818,76,164,34,15,6753.778991930475,12885.052778563111,46194.48049923457,2014,100719.47310958672,96506.77845514768,4212.694654439038
2011-12-01,North,Speakers,86380.60281167101,85686.06571106536,18560.195992374614,73,468,19,14,3454.5740036690563,18859.99956706045,16648.315236775365,2011,90699.63295225456,88256.64768239732,2442.985269857236
2022-10-01,North,Smartphones,122055.17417331308,83558.77530679684,27132.32717736917,92,969,8,2,2681.248172080155,14473.8047405402,25451.198754138277,2022,128157.93288197873,86065.53856600075,42092.39431597799
2020-04-01,East,Tablets,124347.43247114544,75827.47017353083,22223.651329237644,18,103,17,10,6829.02735157174,5515.8579318756765,46032.17203152269,2020,130564.80409470272,78102.29427873676,52462.509815965954
2013-05-01,East,Laptops,91334.38383801556,85277.44464979404,12874.145104331445,55,785,9,2,7518.5834017388925,13407.135920003368,11337.31480900078,2013,95901.10302991635,87835.76798928787,8065.335040628488
2023-01-01,East,Speakers,105569.26905884274,98993.56156433624,19098.15378370724,92,747,35,5,3142.2547608741625,14126.613179318923,35229.64561799838,2023,110847.73251178488,101963.36841126633,8884.36410051855
2011-03-01,South,Smartwatches,102738.14850814288,69742.85691291273,20251.18844263052,65,855,16,13,5822.852197466427,13723.325491959333,24023.82353547526,2011,107875.05593355003,71835.14262030012,36039.91331324991
2013-09-01,North,Tablets,43457.97118539999,88404.08989983337,17978.155908911576,65,159,34,10,6972.665944427711,15366.14260589927,14311.332481001187,2013,45630.869744669995,91056.21259682838,-45425.342852158385
2015-05-01,East,Smartphones,72082.79842472545,83037.3537651359,18074.197638180634,92,144,14,13,9477.250403734242,9402.707599215491,32700.956384488505,2015,75686.93834596172,85528.47437808997,-9841.53603212825
2017-05-01,South,Headphones,118845.08828364153,77233.78139456094,17913.596352151613,35,683,34,14,8230.899644958066,7156.479629580255,29396.04746500041,2017,124787.34269782361,79550.79483639776,45236.547861425846
2015-11-01,North,Laptops,83347.915019145,55316.650407520894,11076.47312461501,69,706,30,18,4787.333652229334,16250.729434219322,13968.061527572514,2015,87515.31077010225,56976.149919746524,30539.16085035573
2010-09-01,West,Tablets,110596.75792130128,79820.11229666242,10187.332586435215,86,642,48,8,8599.666094201519,7945.296319079094,20688.450688611803,2010,116126.59581736635,82214.7156655623,33911.88015180406
2017-04-01,South,Smartwatches,105260.80902691066,90090.32786912992,16733.033694733163,95,255,10,5,4975.2458843290215,6712.38440628474,39614.247426794,2017,110523.8494782562,92793.03770520382,17730.81177305238
2020-09-01,North,Smartphones,124308.65540255763,84859.58628612361,17997.516309869745,81,987,31,12,2171.139872430291,10390.657814962442,40234.00950127747,2020,130524.08817268552,87405.37387470732,43118.71429797819
2021-04-01,South,Smartphones,72724.17023184287,58419.89003913483,13303.522291922984,97,851,24,16,4069.904056574605,17491.31175524726,33947.30928115912,2021,76360.37874343502,60172.48674030887,16187.892003126151
2015-03-01,North,Speakers,107884.11681922503,98705.82721180496,14878.861371819115,99,163,32,19,8242.516095835741,6231.624618722877,14419.487180620708,2015,113278.32266018628,101667.00202815911,11611.320632027171
2021-07-01,North,Tablets,98691.71083729112,104718.80247942118,18734.35314897491,57,520,24,7,9602.242991762603,7933.420381122512,44123.67240946784,2021,103626.29637915568,107860.36655380382,-4234.070174648135
2016-09-01,West,Smartwatches,84204.51318650105,78357.54051527684,25155.292732049405,67,422,16,4,9852.253791311805,12128.890673790918,16908.159295635465,2016,88414.7388458261,80708.26673073514,7706.472115090961
2021-04-01,South,Smartphones,84064.07179441524,114666.14511237714,24826.496823569505,72,208,49,19,6751.854930448378,9314.704569070143,38837.53545530791,2021,88267.27538413601,118106.12946574845,-29838.854081612444
2023-07-01,East,Laptops,104549.61761651326,67556.74707646824,24994.096036240266,67,562,25,10,5305.077616393945,15824.915133881812,11703.370483753391,2023,109777.09849733893,69583.44948876229,40193.64900857664
2023-07-01,West,Smartphones,112593.40342103584,60918.515258453415,14948.377423107131,12,679,34,8,2458.5135770740817,15123.536400999235,23273.19374594614,2023,118223.07359208763,62746.07071620702,55477.002875880615
2012-09-01,West,Smartwatches,101271.9256508859,64777.67296539677,18888.58776069473,16,646,14,16,1922.718765674844,17637.745445096716,29134.46375932736,2012,106335.5219334302,66721.00315435868,39614.51877907151
2020-03-01,North,Headphones,101894.28503714556,83677.08157466902,26178.215404082428,61,350,9,4,5666.519851005962,8057.647628737474,11118.561886952852,2020,106988.99928900284,86187.39402190909,20801.60526709375
2010-05-01,East,Headphones,90030.11191927953,53324.77533234526,11176.54282415534,71,965,41,10,7550.011766093721,14733.78131760488,16862.14484282875,2010,94531.61751524352,54924.518592315624,39607.09892292789
2013-05-01,South,Speakers,91356.28365900552,75336.30720186296,17702.756447340817,11,609,12,19,3915.298565879496,16621.017513979037,22756.41011866412,2013,95924.09784195581,77596.39641791885,18327.70142403696
2012-04-01,East,Tablets,84150.59283284206,124018.25500287782,21110.836704970025,42,647,34,16,7072.090550705304,5940.006841683168,49300.29433026741,2012,88358.12247448416,127738.80265296416,-39380.680178480005
2021-03-01,East,Smartwatches,89627.96696609944,57442.633865003896,11474.351765340603,21,540,21,12,6137.293593168297,5552.344140040908,41179.03374199552,2021,94109.36531440442,59165.91288095401,34943.45243345041
2015-12-01,East,Speakers,111893.51183669997,71793.35735625043,22144.30245162817,57,553,7,2,9466.739755444489,13388.875070911712,43627.85886871438,2015,117488.18742853498,73947.15807693795,43541.029351597026
2010-12-01,East,Smartphones,114128.11248867695,64458.975498891465,27734.96537289814,85,743,25,11,2886.012383472598,13817.821520992897,36700.67556168487,2010,119834.51811311081,66392.74476385821,53441.7733492526
2023-06-01,East,Smartphones,74482.48768387725,75727.74298574051,26122.923707948557,62,916,20,13,6319.52620055163,10892.131395588633,21695.78033915299,2023,78206.61206807112,77999.57527531273,207.03679275838658
2012-09-01,North,Headphones,82071.26649436803,74777.64319160793,19111.218368202924,83,833,36,3,4724.172159525288,5541.099711443759,38377.916140955815,2012,86174.82981908643,77020.97248735616,9153.857331730265
2013-12-01,North,Speakers,85792.03952661616,69956.5815540058,24071.97514739427,50,778,31,17,3354.179947730927,11028.827305368824,36949.63918219914,2013,90081.64150294698,72055.27900062597,18026.362502321004
2022-07-01,West,Headphones,98719.26276467169,77655.42859445782,11418.349347656118,91,373,10,10,4215.630652619342,14631.328117118272,34398.04724344262,2022,103655.22590290528,79985.09145229156,23670.134450613725
2015-02-01,North,Laptops,66336.94387927193,89498.08384327276,21391.764281234664,67,159,46,8,3650.814594141362,15528.206285997318,21932.860142593447,2015,69653.79107323552,92183.02635857095,-22529.235285335424
2013-01-01,West,Headphones,82421.85904523318,100780.18759701896,18476.628315725997,77,441,20,6,5748.837447859182,12391.87210914418,20528.57452495281,2013,86542.95199749485,103803.59322492953,-17260.64122743468
2018-03-01,West,Laptops,72288.36973955855,75733.61770829793,19252.824502869316,32,493,49,14,6022.488748988897,12875.374661385424,23451.969201870164,2018,75902.78822653648,78005.62623954687,-2102.8380130103906
2024-04-01,South,Smartphones,108009.64268420232,80086.7774151308,20519.15013764334,94,212,7,19,8789.860606018741,15090.114138388357,22495.88197357952,2024,113410.12481841244,82489.38073758472,30920.744080827717
2018-08-01,East,Speakers,99406.50115335472,86948.83742569566,21938.1593100212,45,320,44,1,8031.752310694386,11739.535729127309,13113.304642066863,2018,104376.82621102246,89557.30254846653,14819.523662555934
2012-11-01,North,Laptops,90749.0494911526,61463.32375054255,12739.5525944313,94,890,24,11,3722.637051944518,8952.724230180287,42091.11924076794,2012,95286.50196571024,63307.22346305883,31979.27850265141
2018-05-01,South,Speakers,78734.45438463957,77710.23498257037,15097.71371088376,96,167,44,14,9381.927570718895,8344.548320642705,24770.28279421097,2018,82671.17710387155,80041.54203204748,2629.635071824072
2024-07-01,North,Speakers,91058.07097421613,72417.04253281085,18718.693465044824,30,414,11,13,8815.174958994052,16291.293660199572,38265.47252208248,2024,95610.97452292693,74589.55380879519,21021.420714131746
2020-11-01,West,Laptops,88706.15768484157,94278.9946063828,11106.694398197538,81,566,15,12,6632.766667071206,12313.229549461554,21196.978293580105,2020,93141.46556908365,97107.36444457428,-3965.8988754906313
2010-01-01,North,Tablets,132693.33105039742,106277.38177978748,20686.247014413668,64,957,33,6,1167.6567941481012,14361.289929817796,34080.652553909786,2010,139327.9976029173,109465.7032331811,29862.294369736206
2010-05-01,East,Headphones,119940.3942316354,68344.06200255458,24163.591224715256,65,362,7,4,2882.229555337219,12066.586883525037,11386.944071230686,2010,125937.41394321717,70394.38386263122,55543.030080585944
2021-10-01,West,Laptops,86185.8414814216,99199.85345181136,26960.714131269124,22,880,25,9,8103.873271483291,17282.56124635732,14241.53444534678,2021,90495.13355549268,102175.8490553657,-11680.715499873026
2018-07-01,West,Smartphones,103303.90681904914,58124.41335287855,20482.09815172124,31,230,36,7,5083.847180819078,12452.710215918534,24581.18834232194,2018,108469.1021600016,59868.14575346491,48600.95640653669
2012-03-01,South,Speakers,118884.17293171992,83010.10526963709,29431.925043249816,16,523,34,7,2133.5546610493784,19820.819358849323,20749.471204591893,2012,124828.38157830593,85500.4084277262,39327.973150579724
2021-05-01,East,Smartwatches,86179.71625407424,83899.95214358965,19824.781327901168,33,366,43,13,4674.337038620959,8639.069220793595,24136.1267082712,2021,90488.70206677796,86416.95070789734,4071.7513588806178
2011-03-01,West,Laptops,71657.7851805346,57741.28334229582,13716.058557434357,70,819,15,2,2907.128114380023,7077.900308533463,47227.6862223029,2011,75240.67443956134,59473.521842564696,15767.152596996639
2017-06-01,East,Headphones,64062.82958134753,67573.59827612327,19720.23069471821,14,311,21,2,9033.106572238034,10603.947783705476,12956.031277134116,2017,67265.9710604149,69600.80622440697,-2334.835163992073
2013-06-01,North,Speakers,125445.33839829217,66114.18731796033,18971.635640124285,59,662,29,15,9003.325638795752,18779.849161065657,28509.232998122203,2013,131717.60531820677,68097.61293749914,63619.99238070763
2020-04-01,East,Tablets,96178.75237060164,60329.01155734959,22580.788183368768,71,387,29,16,4483.559638978029,17784.688975532634,17930.26496152957,2020,100987.68998913172,62138.881904070084,38848.80808506163
2024-11-01,West,Smartphones,105826.50465749398,40006.731345144006,21353.130092125582,64,524,13,2,2236.5415097836767,8710.294484647346,24233.540729697743,2024,111117.82989036868,41206.93328549833,69910.89660487036
2015-03-01,South,Tablets,88515.2524936188,76891.25827653086,20996.37206258778,35,653,49,5,4229.48110418428,13995.463522939866,37081.39534125633,2015,92941.01511829974,79197.99602482679,13743.019093472947
2017-12-01,West,Smartwatches,74642.02163020632,78698.3924778915,24834.550797026364,19,858,33,2,2158.6596847915384,13834.096077848266,48917.565124496,2017,78374.12271171664,81059.34425222824,-2685.2215405116003
2014-04-01,East,Laptops,78373.98350321804,78580.61791091885,17850.20864153634,20,806,19,7,3736.413953536679,9400.953422940587,37789.10824081528,2014,82292.68267837894,80938.03644824642,1354.6462301325228
2017-12-01,East,Speakers,73179.30415414783,91485.59156695777,22693.622601935247,49,343,23,5,7940.633821471335,8530.725187784465,45393.77721474958,2017,76838.26936185523,94230.1593139665,-17391.889952111276
2020-12-01,West,Laptops,116999.8882893775,50932.53020660648,21404.332596021315,20,811,19,11,3627.51794977612,10850.742296034825,15890.346627983952,2020,122849.88270384638,52460.50611280468,70389.3765910417
2022-07-01,East,Headphones,129851.223166641,74284.2482318135,20569.72725322652,13,969,43,8,5897.8174717626325,16829.28201208118,17255.664576859584,2022,136343.78432497304,76512.77567876791,59831.008646205126
2021-11-01,North,Laptops,100744.87924950045,118399.66858781652,19671.475938472977,11,732,39,17,2069.86034697657,7875.725623288442,45070.73919168348,2021,105782.12321197547,121951.65864545101,-16169.53543347554
